rep,n,thr,method,f1
10,5,0.5,Cal,0.6558627264061011
10,5,0.5,mCal,0.6614634146341464
10,5,0.5,Flex,0.6484962406015039
10,5,0.8,Cal,0.6553191489361702
10,5,0.8,mCal,0.6647482014388489
10,5,0.8,Flex,0.6516220028208745
10,10,0.2,Cal,0.6768802228412256
10,10,0.2,mCal,0.6851990984222389
10,10,0.2,Flex,0.6714183891660727
10,10,0.5,Cal,0.8076923076923077
10,10,0.5,mCal,0.8125
10,10,0.5,Flex,0.7872044506258693
10,10,0.8,Cal,0.8175519630484989
10,10,0.8,mCal,0.8175519630484989
10,10,0.8,Flex,0.8051948051948052
10,25,0.2,Cal,0.8290972830850131
10,25,0.2,mCal,0.8274021352313168
10,25,0.2,Flex,0.8205560235888796
10,25,0.5,Cal,0.8966565349544072
10,25,0.5,mCal,0.8963414634146342
10,25,0.5,Flex,0.8967551622418879
10,25,0.8,Cal,0.9029345372460497
10,25,0.8,mCal,0.9029345372460497
10,25,0.8,Flex,0.8961038961038962
11,5,0.2,Cal,0.5655326268823201
11,5,0.2,mCal,0.6066350710900474
11,5,0.2,Flex,0.5739231664726426
11,5,0.5,Cal,0.6528189910979229
11,5,0.5,mCal,0.6579476861167003
11,5,0.5,Flex,0.6407766990291262
11,5,0.8,Cal,0.643646408839779
11,5,0.8,mCal,0.6572637517630466
11,5,0.8,Flex,0.6427586206896552
11,10,0.2,Cal,0.6671838634600465
11,10,0.2,mCal,0.6788381742738588
11,10,0.2,Flex,0.6577075098814229
11,10,0.5,Cal,0.7882534775888719
11,10,0.5,mCal,0.7943925233644861
11,10,0.5,Flex,0.7728613569321535
11,10,0.8,Cal,0.7885985748218527
11,10,0.8,mCal,0.7885985748218527
11,10,0.8,Flex,0.8138528138528138
11,25,0.2,Cal,0.8183556405353729
11,25,0.2,mCal,0.8271119842829077
11,25,0.2,Flex,0.8051708217913204
11,25,0.5,Cal,0.888888888888889
11,25,0.5,mCal,0.888888888888889
11,25,0.5,Flex,0.8752136752136752
11,25,0.8,Cal,0.8802228412256268
11,25,0.8,mCal,0.8802228412256268
11,25,0.8,Flex,0.8877005347593584
12,5,0.2,Cal,0.587557603686636
12,5,0.2,mCal,0.629043358568479
12,5,0.2,Flex,0.5892116182572614
12,5,0.5,Cal,0.6592517694641052
12,5,0.5,mCal,0.6542056074766356
12,5,0.5,Flex,0.641732283464567
12,5,0.8,Cal,0.6422287390029325
12,5,0.8,mCal,0.6508172362555721
12,5,0.8,Flex,0.6412884333821376
12,10,0.2,Cal,0.6638358103326256
12,10,0.2,mCal,0.6722689075630253
12,10,0.2,Flex,0.6530909090909089
12,10,0.5,Cal,0.7936046511627907
12,10,0.5,mCal,0.7958883994126283
12,10,0.5,Flex,0.754054054054054
12,10,0.8,Cal,0.8242950108459869
12,10,0.8,mCal,0.8242950108459869
