rep,n,bin,method,bias,variance,rmse,binlabel
11,25,1,Samp,0.016864315297916627,0.00990038587876651,0.10091972557054471,1000-10000
11,25,2,Samp,0.03372333722837152,0.009834867241123573,0.10474793895319393,10000-100000
11,25,3,Samp,0.03170525935199879,0.004133125241531425,0.07168227613649647,100000-1000000
12,5,0,Samp,0.16707887963815765,0.07672134442064259,0.3234759596040864,0-1000
12,5,1,Samp,0.1873970045308367,0.07569129562334695,0.3328797574657813,1000-10000
12,5,2,Samp,0.21372892917017317,0.054660338725227214,0.31676551878235754,10000-100000
12,5,3,Samp,0.24763909000030643,0.07657822162327745,0.37135339034329184,100000-1000000
12,10,0,Samp,0.0566693567355078,0.02616342272917,0.1713908945130582,0-1000
12,10,1,Samp,0.0858393456191411,0.03091751642139538,0.19566785550446894,1000-10000
12,10,2,Samp,0.10100403241454874,0.026036173638333198,0.19036278050693736,10000-100000
12,10,3,Samp,0.12308663572786582,0.027800092532098065,0.20724481278647822,100000-1000000
12,25,0,Samp,0.01398111355265863,0.0077816457868838266,0.08931470944394412,0-1000
12,25,1,Samp,0.023727133081701605,0.008492947561488549,0.09516262084329817,1000-10000
12,25,2,Samp,0.027384935641466494,0.007859911662285932,0.09278925779621902,10000-100000
12,25,3,Samp,0.03303453598943577,0.004063741566283073,0.07179848281349961,100000-1000000
13,5,0,Samp,0.10821325453998745,0.06328131465815519,0.2738456191292665,0-1000
13,5,1,Samp,0.16051470452231154,0.06756411289706539,0.3054980904440327,1000-10000
13,5,2,Samp,0.19568616594518115,0.06552757499441046,0.3222121204063178,10000-100000
13,5,3,Samp,0.2278345903440811,0.06748971024595048,0.34554060659089797,100000-1000000
13,10,0,Samp,0.0577406659868219,0.02494415067432536,0.16816103943222727,0-1000
13,10,1,Samp,0.0783427600741944,0.03602751713126053,0.2053414356317383,1000-10000
13,10,2,Samp,0.09644754053848391,0.024160732725146933,0.18292856748214434,10000-100000
13,10,3,Samp,0.09524549610038478,0.021697415907591205,0.17541128936017664,100000-1000000
13,25,0,Samp,-0.0002177263130005058,0.00945763428738319,0.09725061281107981,0-1000
13,25,1,Samp,0.010263496761130045,0.010633844800069299,0.10363003505661389,1000-10000
13,25,2,Samp,0.021495733768826963,0.008102335465134386,0.09254405456535106,10000-100000
13,25,3,Samp,0.02658938498124952,0.0036183249787738988,0.06576716789139544,100000-1000000
14,5,0,Samp,0.1590776754456135,0.0774206220568295,0.32050948329497125,0-1000
14,5,1,Samp,0.17965541626883086,0.07926258792672033,0.3339740356995544,1000-10000
14,5,2,Samp,0.2435495341400398,0.07761171265980195,0.3700379551338381,10000-100000
14,5,3,Samp,0.24725054584082284,0.0757851684126902,0.37002432464808993,100000-1000000
14,10,0,Samp,0.07287550461519916,0.030264295854040783,0.1886137190846962,0-1000
14,10,1,Samp,0.09227264005715949,0.03200777376204023,0.20130080443246703,1000-10000
14,10,2,Samp,0.10254160872010623,0.024453276968480684,0.18699748256965398,10000-100000
14,10,3,Samp,0.10969611492997956,0.029276758890338143,0.20324860767313863,100000-1000000
14,25,0,Samp,0.014360768506119897,0.009131073381934878,0.09662973172901415,0-1000
14,25,1,Samp,0.024616280987585597,0.007963917736283646,0.09257364109693113,1000-10000
14,25,2,Samp,0.02817128590325571,0.005932392786021681,0.08201228039424739,10000-100000
14,25,3,Samp,0.031107382453604452,0.0038118310010765537,0.06913392976094569,100000-1000000
15,5,0,Samp,0.1444879723565927,0.07117504251952513,0.30340042299780107,0-1000
15,5,1,Samp,0.16427499390573497,0.0802650939639049,0.32749254584896154,1000-10000
15,5,2,Samp,0.21481795406599782,0.06694822342671371,0.33629596610101475,10000-100000
15,5,3,Samp,0.22144039310883873,0.05455133394740924,0.3218496258310801,100000-1000000
15,10,0,Samp,0.04562062406718277,0.02308452243090634,0.15863720802884032,0-1000
15,10,1,Samp,0.0758143878423384,0.02912124481383911,0.18673260619867013,1000-10000
15,10,2,Samp,0.08469666897058145,0.02464895310120323,0.17838856139314394,10000-100000
15,10,3,Samp,0.1015292602683955,0.02147329399106338,0.1782736230677746,100000-1000000
15,25,0,Samp,0.01086533363843068,0.007882512495191079,0.08944589409394649,0-1000
15,25,1,Samp,0.023101224895904347,0.007581842153426217,0.09008611849290304,1000-10000
15,25,2,Samp,0.02974549845406183,0.005962524282187528,0.08274852844895866,10000-100000
15,25,3,Samp,0.027791182271737106,0.004280564157347604,0.07108385167820128,100000-1000000
16,5,0,Samp,0.20317744802796134,0.08426025943322556,0.35431812657607636,0-1000
16,5,1,Samp,0.24744190130487012,0.08726447147344013,0.3853465531113639,1000-10000
16,5,2,Samp,0.24487283706360174,0.08409834122252428,0.3795537479120731,10000-100000
16,5,3,Samp,0.2532763801828568,0.07936470894429604,0.37883193331981274,100000-1000000
16,10,0,Samp,0.053933654241124354,0.025226522453082816,0.16773598753065475,0-1000
16,10,1,Samp,0.06241223992592126,0.029264634993563698,0.1820986619559146,1000-10000
16,10,2,Samp,0.07749064129649183,0.022134383339872485,0.16774737800756842,10000-100000
16,10,3,Samp,0.10124320281989851,0.024044028293524974,0.18518697149301858,100000-1000000
16,25,0,Samp,0.010343098508684125,0.008292878664139596,0.09165074113666478,0-1000
16,25,1,Samp,0.01430786129827581,0.008929498660567478,0.09557307965896138,1000-10000
16,25,2,Samp,0.02766938494361164,0.0075520396944364545,0.09120106664723947,10000-100000
16,25,3,Samp,0.028225483802417267,0.0041952192607923496,0.07065335941533757,100000-1000000
17,5,0,Samp,0.15074374033366292,0.06770077126578651,0.30070657877001844,0-1000
17,5,1,Samp,0.1805762846476805,0.07615781454142584,0.3297963145921827,1000-10000
17,5,2,Samp,0.21956578719693767,0.06907914848904174,0.34247377037731325,10000-100000
17,5,3,Samp,0.23455818002098833,0.06306255735054837,0.3436278469002574,100000-1000000
17,10,0,Samp,0.07181497021674747,0.02886046077063784,0.18443928734917125,0-1000
17,10,1,Samp,0.05306735937058054,0.026044674469420197,0.16988472297409954,1000-10000
17,10,2,Samp,0.0932830545806084,0.023234028787461124,0.17870578350839653,10000-100000
17,10,3,Samp,0.0934974595691618,0.020285992158940967,0.17037537118030885,100000-1000000
17,25,0,Samp,0.020329173884200653,0.009595200577230987,0.1000423704639442,0-1000
17,25,1,Samp,0.03210354643531951,0.00754915536725127,0.09262717236845777,1000-10000
17,25,2,Samp,0.022851975488059242,0.006503606157293618,0.08382015832125635,10000-100000
17,25,3,Samp,0.03482500465371761,0.004257106824094286,0.07395868963972888,100000-1000000
18,5,0,Samp,0.1438237960084869,0.07178832954097035,0.3040947448399285,0-1000
18,5,1,Samp,0.15340068354934044,0.06805052902510766,0.30262567428840625,1000-10000
18,5,2,Samp,0.2128860718530331,0.0687282109378215,0.33771095707251825,10000-100000
18,5,3,Samp,0.22683058405237547,0.06188738715513093,0.33665932486220057,100000-1000000
18,10,0,Samp,0.067770291878097,0.032648035210663374,0.19297887882332054,0-1000
18,10,1,Samp,0.06587601191313572,0.026273044502228695,0.17496483488920936,1000-10000
18,10,2,Samp,0.08816056738034,0.025173166406987878,0.1815088208540052,10000-100000
18,10,3,Samp,0.09825971174452776,0.01977913221669067,0.17156370003240298,100000-1000000
18,25,0,Samp,0.02590781786273745,0.010120814463167956,0.1038846932400377,0-1000
18,25,1,Samp,0.027698975704578053,0.009516256292303807,0.10140754186640465,1000-10000
18,25,2,Samp,0.03574031332953997,0.007536627875042562,0.09388289445866192,10000-100000
18,25,3,Samp,0.03449784978637659,0.004126252233817799,0.07291333124814146,100000-1000000
19,5,0,Samp,0.16534033246356222,0.08036027664209956,0.32817328072416385,0-1000
19,5,1,Samp,0.16870583135571385,0.07309346605886424,0.31867714632883043,1000-10000
