rep,n,method,rmse
39,10,mCal,12.423326936553222
39,10,Flex,16.499571391961524
39,25,BS,8.2349073076405
39,25,Rag,8.586886864302802
39,25,Supp,3600.0332244760507
39,25,Cal,19.110084042146116
39,25,mCal,7.629567640979675
39,25,Flex,8.08503100637463
40,5,BS,30.57065664594522
40,5,Rag,49.03466478393828
40,5,Supp,452.7269795342084
40,5,Cal,99.66276294058493
40,5,mCal,20.83519251075537
40,5,Flex,27.14601389872933
40,10,BS,15.384396820872777
40,10,Rag,16.390370579980814
40,10,Supp,420.0731631758536
40,10,Cal,46.02471833106129
40,10,mCal,12.054494197096686
40,10,Flex,15.226904739862498
40,25,BS,7.844152908722138
40,25,Rag,8.219246353174057
40,25,Supp,5643.246127018579
40,25,Cal,18.87869081624863
40,25,mCal,7.348350346550613
40,25,Flex,7.985478118379085
41,5,BS,26.383919801511308
41,5,Rag,49.92677752838917
41,5,Supp,457.41459022427995
41,5,Cal,96.83075631505228
41,5,mCal,19.542297714196195
41,5,Flex,24.673866043989054
41,10,BS,15.348762628364648
41,10,Rag,15.642836528246633
41,10,Supp,409.6716223309992
41,10,Cal,46.73970955829316
41,10,mCal,11.784841203541657
41,10,Flex,15.8956224698552
41,25,BS,8.117967116500969
41,25,Rag,8.514403184684022
41,25,Supp,1316.4976037402848
41,25,Cal,19.114096108490898
41,25,mCal,7.576947052612612
41,25,Flex,8.19478556109894
42,5,BS,27.952445602701214
42,5,Rag,50.54204220793205
42,5,Supp,444.1554709206202
42,5,Cal,97.5429201688199
42,5,mCal,20.21404429542822
42,5,Flex,25.444282957404404
42,10,BS,14.998858488259359
42,10,Rag,15.466828190953517
42,10,Supp,438.8361264936293
42,10,Cal,45.87410982428406
42,10,mCal,12.017967973665229
42,10,Flex,15.568434185798306
42,25,BS,8.017011971780505
42,25,Rag,8.102783528070422
42,25,Supp,7709.465796727974
42,25,Cal,18.852156935293188
42,25,mCal,7.534672273054401
42,25,Flex,7.808588940381336
43,5,BS,29.303149581398095
43,5,Rag,52.59627361247321
43,5,Supp,461.6117498694442
43,5,Cal,97.7030889670312
43,5,mCal,20.630662175983737
43,5,Flex,26.280065628750013
43,10,BS,15.79517762106939
43,10,Rag,17.726402720669572
43,10,Supp,404.11766550378707
43,10,Cal,47.36739902402246
43,10,mCal,12.173476464333026
43,10,Flex,16.6513857493483
43,25,BS,8.15305201928719
43,25,Rag,8.178391048137376
43,25,Supp,5443.635022964246
43,25,Cal,18.883892640287943
43,25,mCal,7.688196030848899
43,25,Flex,7.879384055202708
44,5,BS,30.814850609016986
44,5,Rag,53.858048407785034
44,5,Supp,465.2642503105034
44,5,Cal,98.87879429048317
44,5,mCal,21.70805905598617
44,5,Flex,27.42821658021079
44,10,BS,15.523161062942675
44,10,Rag,16.704493358657384
44,10,Supp,431.68297948783663
44,10,Cal,47.352525238818586
