rep,n,method,rmse
31,25,Cal,8.545627753194223
31,25,mCal,6.006558633001808
31,25,Flex,5.737944234548681
32,5,BS,22.736456889910848
32,5,Rag,27.784156162355806
32,5,Supp,129.40215343078214
32,5,Cal,39.73543235212445
32,5,mCal,16.578305442322645
32,5,Flex,19.302705240677575
32,10,BS,13.516515810029299
32,10,Rag,20.167252743214192
32,10,Supp,107.45979773341955
32,10,Cal,20.91022530325533
32,10,mCal,11.424842197237163
32,10,Flex,12.430598125798769
32,25,BS,6.953102502286106
32,25,Rag,11.46912419199391
32,25,Supp,2497.538364600501
32,25,Cal,8.751155012734548
32,25,mCal,6.797103049464614
32,25,Flex,6.450936669877638
33,5,BS,24.79123025014075
33,5,Rag,26.90879639774464
33,5,Supp,136.1655431207352
33,5,Cal,42.01347553143572
33,5,mCal,17.39825452503255
33,5,Flex,21.000743546631707
33,10,BS,14.087062629831898
33,10,Rag,21.723429502660817
33,10,Supp,129.23774768318387
33,10,Cal,21.154875846455923
33,10,mCal,11.32466377651476
33,10,Flex,13.261290969708304
33,25,BS,6.133958221277333
33,25,Rag,9.77352695009079
33,25,Supp,920.4568926312517
33,25,Cal,8.173095079852946
33,25,mCal,5.942498892969882
33,25,Flex,5.448949297175678
34,5,BS,24.99931952057817
34,5,Rag,29.368727685492516
34,5,Supp,125.92886619927565
34,5,Cal,42.99027680994117
34,5,mCal,18.128791933919324
34,5,Flex,22.17579636565096
34,10,BS,13.36548364954469
34,10,Rag,16.080752513188024
34,10,Supp,124.08927661209421
34,10,Cal,20.483943234891964
34,10,mCal,11.465232044433291
34,10,Flex,12.190263641141142
34,25,BS,7.223301335583034
34,25,Rag,9.907316746596047
34,25,Supp,810.5594168377975
34,25,Cal,9.180826066588578
34,25,mCal,6.88365084444807
34,25,Flex,6.882382795371644
35,5,BS,25.521141258250307
35,5,Rag,39.588109304444
35,5,Supp,138.2608491800735
35,5,Cal,43.449159931707584
35,5,mCal,17.90434883210609
35,5,Flex,21.31394341997369
35,10,BS,13.105759731398244
35,10,Rag,16.46468068021082
35,10,Supp,125.67974360382962
35,10,Cal,19.4168864802458
35,10,mCal,11.484089603468101
35,10,Flex,11.645489361316164
35,25,BS,6.821490603260314
35,25,Rag,9.308144322886312
35,25,Supp,2705.007652313601
35,25,Cal,8.465611941395492
35,25,mCal,7.02681780364894
35,25,Flex,6.276294641506503
36,5,BS,25.993765382610746
36,5,Rag,28.483230927033944
36,5,Supp,132.32408608059683
36,5,Cal,43.79803337388556
36,5,mCal,18.099325997904938
36,5,Flex,22.78189568362277
36,10,BS,13.329869332347
36,10,Rag,23.32403449505999
36,10,Supp,127.67919147953768
36,10,Cal,21.070054676954403
36,10,mCal,11.153395023787182
36,10,Flex,12.865643664885647
36,25,BS,6.891887127018949
36,25,Rag,10.829434314728477
36,25,Supp,1668.1483845272207
36,25,Cal,8.691167410103011
36,25,mCal,6.737964439892351
36,25,Flex,6.28144778552609
37,5,BS,23.31316495361582
37,5,Rag,24.711513292575322
37,5,Supp,139.2671367382659
37,5,Cal,39.91841367095433
37,5,mCal,17.285445306265764
37,5,Flex,20.18728968929906
37,10,BS,12.805316520100565
37,10,Rag,16.316362414317254
37,10,Supp,133.84736872148147
37,10,Cal,20.806879236219782
37,10,mCal,10.315953194840862
37,10,Flex,12.138432079280324
37,25,BS,6.693512272021829
37,25,Rag,9.263083979310617
37,25,Supp,10931.96987689387
37,25,Cal,8.640696412172336
37,25,mCal,6.418519392321452
37,25,Flex,6.033344203996318
38,5,BS,23.003013875601297
38,5,Rag,27.14822482960181
38,5,Supp,126.16406462604941
38,5,Cal,40.92298708378
38,5,mCal,17.029180123722245
38,5,Flex,20.60021425443912
38,10,BS,13.100168928423681
38,10,Rag,17.071776596313672
38,10,Supp,133.52194042833324
38,10,Cal,21.595596861247692
38,10,mCal,11.13030914480508
38,10,Flex,12.788280664111946
38,25,BS,7.061603998927461
38,25,Rag,10.616729479287883
38,25,Supp,1457.5994003934081
38,25,Cal,8.704882413848576
38,25,mCal,6.70176434738921
38,25,Flex,6.5017205928100585
39,5,BS,23.620603799377935
39,5,Rag,28.40482032967039
39,5,Supp,126.07228937268783
39,5,Cal,41.74468238862646
39,5,mCal,16.7835058057849
39,5,Flex,20.080623148691245
39,10,BS,13.23931513779228
39,10,Rag,15.05212136440007
39,10,Supp,132.07471057968198
39,10,Cal,20.688197085294387
39,10,mCal,10.897924798273067
39,10,Flex,12.307507524645203
39,25,BS,6.428909047440239
39,25,Rag,9.850160211520716
39,25,Supp,3037.5250415079486
39,25,Cal,8.717090883648707
39,25,mCal,6.2220608992207636
39,25,Flex,6.04209808829736
40,5,BS,25.25529638411088
40,5,Rag,27.50085816539076
40,5,Supp,141.7706116823659
40,5,Cal,41.821337642113285
40,5,mCal,17.96307864822718
40,5,Flex,21.73141217239945
40,10,BS,13.38597769094863
40,10,Rag,17.203919357180467
40,10,Supp,140.43575257794063
40,10,Cal,21.223103335822255
40,10,mCal,10.987543347256457
40,10,Flex,12.29752247710846
40,25,BS,6.660441618168602
40,25,Rag,9.84212223197519
40,25,Supp,2729.7220310540897
40,25,Cal,8.725492383180146
40,25,mCal,6.498114022450891
40,25,Flex,6.132752902612408
41,5,BS,27.95523163506077
41,5,Rag,34.724703327084086
41,5,Supp,152.07234471704805
41,5,Cal,43.70599582256611
41,5,mCal,19.170711381675897
41,5,Flex,23.019933883352618
41,10,BS,13.72080629805824
41,10,Rag,20.46203416525485
41,10,Supp,130.2919764896659
41,10,Cal,22.08963054307193
41,10,mCal,11.408539273995862
41,10,Flex,14.069992185713863
41,25,BS,6.51257197858564
41,25,Rag,10.003845280250925
41,25,Supp,3079.935628318234
41,25,Cal,8.188248226746916
41,25,mCal,6.232803351880167
41,25,Flex,5.726341153892088
42,5,BS,22.15918493470531
42,5,Rag,27.162197858893332
42,5,Supp,132.30101389070393
42,5,Cal,40.31390275517423
42,5,mCal,16.53305336004047
42,5,Flex,19.31765111639794
42,10,BS,13.426734653799796
42,10,Rag,16.408761488900943
42,10,Supp,146.31670332687986
42,10,Cal,21.16064329252448
42,10,mCal,11.106024738546283
42,10,Flex,12.749432668536818
42,25,BS,6.591788584001833
42,25,Rag,11.557120589050626
42,25,Supp,1663.3014540653894
42,25,Cal,8.445914993208856
42,25,mCal,6.273912793242414
42,25,Flex,6.0828687769774605
43,5,BS,23.983066107573503
43,5,Rag,31.661632578941155
43,5,Supp,133.75706336473982
43,5,Cal,40.97404465127241
43,5,mCal,17.081975412225745
43,5,Flex,20.467732603538757
43,10,BS,14.302527420216357
43,10,Rag,21.278114933204606
43,10,Supp,123.87126308836525
43,10,Cal,22.056040493294496
43,10,mCal,11.525260002684789
43,10,Flex,13.864111793569052
43,25,BS,6.647856809430401
43,25,Rag,10.042068998112585
43,25,Supp,958.3762140658539
43,25,Cal,8.690094854092209
43,25,mCal,6.358202039565256
43,25,Flex,6.06133122250011
44,5,BS,27.862995169610368
44,5,Rag,37.13469106346032
44,5,Supp,139.97858193490617
44,5,Cal,44.670958468425894
44,5,mCal,20.207049330376716
44,5,Flex,23.124965384935766
44,10,BS,13.085340596481808
44,10,Rag,17.60769372323495
44,10,Supp,146.758299294903
44,10,Cal,21.28854294293877
44,10,mCal,10.407402110355347
44,10,Flex,12.750789422511238
44,25,BS,7.133039150536888
44,25,Rag,11.825516084865821
44,25,Supp,2044.7669424732326
44,25,Cal,9.38214195539552
44,25,mCal,6.7186903492949686
44,25,Flex,7.024623045878692
45,5,BS,25.677872224908775
45,5,Rag,32.02273197262713
45,5,Supp,159.10510038016864
45,5,Cal,41.009650209511086
45,5,mCal,17.79930812600611
45,5,Flex,20.929766495650238
45,10,BS,13.098151511523692
45,10,Rag,16.688769746584825
45,10,Supp,129.34339566103392
45,10,Cal,21.32148187472567
45,10,mCal,10.955952042451573
45,10,Flex,12.5056194698973
45,25,BS,6.832359073032665
