rep,n,bin,method,bias,variance,rmse,binlabel
25,16,3,std,0.06736062448829361,0.00782698077306332,0.11119547879530094,100000-1000000
25,26,0,std,0.01647213184954725,0.01324905581870284,0.11627719873806605,0-1000
25,26,1,std,0.027988003811423964,0.010998974342473428,0.10854631592007953,1000-10000
25,26,2,std,0.04956261773755993,0.008725382820622688,0.1057442003025328,10000-100000
25,26,3,std,0.04307745880535563,0.0043548576716632105,0.0788068850341791,100000-1000000
26,16,0,std,0.04158706089960448,0.017293842940782317,0.13792507594723205,0-1000
26,16,1,std,0.04300967481755927,0.023381305221289023,0.15884312181898597,1000-10000
26,16,2,std,0.07168989092862323,0.015199874764297669,0.14261597114508445,10000-100000
26,16,3,std,0.07360756126795362,0.012325023139571525,0.13320321398294813,100000-1000000
26,26,0,std,0.02618868859476524,0.009988984021126768,0.10331907583520264,0-1000
26,26,1,std,0.028293609761689657,0.01075332490624162,0.10748885179212028,1000-10000
26,26,2,std,0.03691485572220603,0.00765846143330979,0.09497982947079384,10000-100000
26,26,3,std,0.04299193794925324,0.003989046054917159,0.07640257052972498,100000-1000000
27,16,0,std,0.03398130941400109,0.0152156661180222,0.1279468464148776,0-1000
27,16,1,std,0.04322272181170762,0.0198328787857074,0.1473128727115172,1000-10000
27,16,2,std,0.059268271118825384,0.011093047506210608,0.12085435642799643,10000-100000
27,16,3,std,0.07540066572943793,0.013281742662500361,0.13772074300897014,100000-1000000
27,26,0,std,0.017562162535927347,0.011509520301682955,0.10871039441847907,0-1000
27,26,1,std,0.03629791018567799,0.011798365286126374,0.11452468541748509,1000-10000
27,26,2,std,0.03839051818395157,0.007779919308867094,0.09619641986737038,10000-100000
27,26,3,std,0.041056680519576276,0.004507056916321836,0.07869376043631661,100000-1000000
28,16,0,std,0.044360101193813714,0.01872911287201434,0.14386428135551832,0-1000
28,16,1,std,0.05201454910254742,0.021409611728194115,0.15529045381650294,1000-10000
28,16,2,std,0.05892854190474128,0.017938349546549912,0.14632471629075097,10000-100000
28,16,3,std,0.07911019242856608,0.011000815059072166,0.13137441762061944,100000-1000000
28,26,0,std,0.027595614857920843,0.011126508313598142,0.10903222584623706,0-1000
28,26,1,std,0.038489690666416276,0.013379517405521166,0.12190559336272302,1000-10000
28,26,2,std,0.03724426010021951,0.008846948432319429,0.10116364634952732,10000-100000
28,26,3,std,0.050724769003871906,0.005740262114075009,0.09117710405892025,100000-1000000
29,16,0,std,0.023279040674225652,0.019774534784935394,0.14253577978755946,0-1000
29,16,1,std,0.06681100164315894,0.020345010019124428,0.15750784094668627,1000-10000
29,16,2,std,0.07462334116120888,0.017829403577772816,0.15296420046479825,10000-100000
29,16,3,std,0.07477707641510635,0.009669704901251233,0.12353669923727882,100000-1000000
29,26,0,std,0.021288137041143917,0.009711833026901198,0.1008217129669186,0-1000
29,26,1,std,0.039721819419203726,0.013500940618929131,0.12279561701013991,1000-10000
29,26,2,std,0.05143759954954227,0.008388056423530792,0.10504229182072268,10000-100000
29,26,3,std,0.04708327369645009,0.005412490765550089,0.08734600979738523,100000-1000000
30,16,0,std,0.03931950498717534,0.017723842012433145,0.13881594103297235,0-1000
30,16,1,std,0.04791232150662562,0.015377191534619522,0.13293901642021344,1000-10000
30,16,2,std,0.05722669453467782,0.013360494955506884,0.12897825213140474,10000-100000
30,16,3,std,0.07578961665433277,0.010108873134575737,0.12590845534429548,100000-1000000
30,26,0,std,0.03510916415833906,0.013520769109905087,0.12146366748045395,0-1000
30,26,1,std,0.03656127146155191,0.010799761827103009,0.1101657315048028,1000-10000
30,26,2,std,0.04128828367937534,0.007761550244442924,0.0972947717692554,10000-100000
30,26,3,std,0.04861200307801961,0.005409067409733133,0.08816004907547705,100000-1000000
31,16,0,std,0.026407832722202276,0.01440356427051625,0.12288587347453762,0-1000
31,16,1,std,0.05152830138000749,0.018340638728166443,0.14489929113448183,1000-10000
31,16,2,std,0.05869373664600358,0.01600597606595817,0.1394665938044971,10000-100000
31,16,3,std,0.07218458368369689,0.011153513567781853,0.12792235023392312,100000-1000000
31,26,0,std,0.02080862257491785,0.013411472562499607,0.11766253157214061,0-1000
31,26,1,std,0.03851439142994094,0.012006211952219356,0.11614460942909947,1000-10000
31,26,2,std,0.04829626241011142,0.008484845580570244,0.10400660817158007,10000-100000
